time,readable_time,acceleration,acceleration_x,acceleration_y,acceleration_z,battery,humidity,pressure,temperature,dev-id
1526084113896,2018-05-12T00:15:13.895999Z,1023.0855291714373,-60,380,948,2947,33,1023.65,23.59,C2:9A:9F:E5:58:27
1526084119216,2018-05-12T00:15:19.216000Z,1029.8038648208696,-72,376,956,2935,33,1023.7,23.6,C2:9A:9F:E5:58:27
1526084124486,2018-05-12T00:15:24.486000Z,1014.4318606983911,-64,376,940,2935,33,1023.69,23.59,C2:9A:9F:E5:58:27
1526084130057,2018-05-12T00:15:30.056999Z,1024.148426742921,-76,380,948,2935,33,1023.65,23.59,C2:9A:9F:E5:58:27
1526084135216,2018-05-12T00:15:35.216000Z,1021.8493039582696,-64,376,948,2947,33,1023.67,23.6,C2:9A:9F:E5:58:27
1526084140216,2018-05-12T00:15:40.216000Z,1023.8593653427213,-72,380,948,2935,33,1023.67,23.6,C2:9A:9F:E5:58:27
1526084145206,2018-05-12T00:15:45.206000Z,1021.1209526789664,-64,384,944,2941,33,1023.62,23.6,C2:9A:9F:E5:58:27
1526084151206,2018-05-12T00:15:51.206000Z,1021.3794593587635,-68,384,944,2947,33,1023.68,23.59,C2:9A:9F:E5:58:27
1526084156805,2018-05-12T00:15:56.805000Z,1018.6736474455398,-72,376,944,2941,33,1023.65,23.59,C2:9A:9F:E5:58:27
1526084162345,2018-05-12T00:16:02.345000Z,1017.8958689374862,-60,376,944,2941,33,1023.69,23.59,C2:9A:9F:E5:58:27
1526084167892,2018-05-12T00:16:07.891999Z,1011.2645549014362,-72,376,936,2947,33,1023.65,23.59,C2:9A:9F:E5:58:27
1526084173415,2018-05-12T00:16:13.414999Z,1022.1076264268846,-68,376,948,2947,33,1023.69,23.58,C2:9A:9F:E5:58:27
1526084179211,2018-05-12T00:16:19.210999Z,1023.5858537514085,-68,380,948,2941,32.5,1023.6,23.59,C2:9A:9F:E5:58:27
1526084184562,2018-05-12T00:16:24.562000Z,1019.882346155673,-68,380,944,2947,32.5,1023.65,23.59,C2:9A:9F:E5:58:27
1526084190212,2018-05-12T00:16:30.211999Z,1030.7434210316358,-64,380,956,2935,33,1023.59,23.58,C2:9A:9F:E5:58:27
